2025-12-30T15:34:59|183|95|202.77
2025-12-30T15:35:23|183|95|202.77
2025-12-30T15:35:28|183|90|225.926
2025-12-30T15:35:45|95|183|28.3675
2025-12-30T15:35:49|90|183|26.8745
2025-12-30T15:35:56|85|183|25.3815
2025-12-30T15:35:59|82|183|24.4857
2026-01-02T21:52:46|95|183|28.3675
2026-01-02T21:53:06|76|183|22.694
2026-01-02T22:00:19|90|184|26.5832
2026-01-02T22:00:23|90|184|26.5832
2026-01-02T22:00:25|90|184|26.5832
2026-01-02T22:00:25|90|184|26.5832
2026-01-02T22:00:26|90|184|26.5832
2026-01-02T22:05:19|85|183|25.3815
2026-01-02T22:05:26|85|183|25.3815
2026-01-02T22:05:26|85|183|25.3815
2026-01-02T22:07:40|86|184|25.4017
